Imię:Nazwisko:Data ur.:Miejsce ur.:Miejscowość :Ulica:Klasa
Olga:Bochenek:1995-02-24:Wrocław:Dąbrowa: ul. Łąkowa 8/2:1
Anita:Daliszewska:1995-05-15:Oława:Kornuty: ul. Pastelowa 10/2:1
Tomasz:Dec:1995-08-23:Wrocław:Brzeg: ul. Oławska 7/1:1
Paulina:Filipiak:1995-02-05:Strzelin:Kornuty: ul. Pastelowa 9/1:1
Roman:Frącek:1995-02-22:Wrocław:Widliszki Wielkie: ul. Adama Mickiewicza 4/2:1
Tomasz:Grzanka:1995-04-27:Wrocław:Tamka: ul. Długa 7:1
Malwina:Jesień:1995-08-06:Wrocław:Widliszki Wielkie: ul. Pocztowa 8/2:1
Marcelina:Kalisiak:1995-02-22:Wrocław:Widliszki Wielkie: ul. Szkolna 4/5:1
Tomasz:Kmita:1995-10-01:Wrocław:Nowiny: ul. Agrestowa 7/2:1
Monika:Kociołek:1995-02-20:Opole:Nowiny: ul. Morelowa 5/2:1
Emilia:Lar:1995-12-01:Strzelin:Tamka: ul. Wielka 7:1
Karina:Lecz:1995-02-03:Wrocław:Polesie: ul. Lipowa 12:1
Filip:Marzec:1995-08-23:Oława:Nowiny: ul. Morelowa 5/1:1
Agnieszka:Młynarz:1995-02-22:Wrocław:Nowiny: ul. Morelowa 28:1
Marcin:Pąk:1995-04-30:Wrocław:Tamka: ul. Długa 23:1
Mariusz:Piętka:1995-02-24:Warszawa:Tamka: ul. Prosta 21:1
Sylwester:Pukacz:1995-08-14:Wrocław:Nowiny: ul. Morelowa 9/2:1
Filip:Respondek:1995-02-22:Brzeg:Widliszki Wielkie: ul. Adama Mickiewicza 2/4:1
Piotr:Słowik:1995-12-09:Wrocław:Kornuty: ul. Tęczowa12/3:1
Ryszard:Szczerzyk:1995-02-22:Warszawa:Morgi 18::1
Andrzej:Szyszka:1995-04-08:Kraków:Dąbrowa: ul. Ogrodowa 7/2:1
Ewelina:Walerowicz:1995-02-03:Warszawa:Dąbrowa: ul. Łąkowa 4/2:1
Róża:Zawada:1995-08-26:Warszawa:Widliszki Wielkie: ul. Pocztowa 5/3:1
Radosław:Zych:1995-07-16:Kraków:Nowiny: ul. Morelowa 7:1
Hanna:Bartkowiak:1994-02-16:Oława:Polesie:  ul. Akacjowa 24/3:1
Robert:Chrabąszcz:1994-07-09:Wrocław:Widliszki Wielkie: ul. Szkolna 6/5:1
Jagoda:Cichoń:1994-02-22:Wrocław:Tamka: ul. Prosta 27/3:1
Karina:Garncarz:1994-02-22:Kraków:Kornuty: ul. Kolorowa 5:1
Aneta:Goścień:1994-03-04:Strzelin:Polesie: ul. Topolowa 24:1
Adam:Grzech:1994-09-17:Strzelin:Widliszki Wielkie: ul. Pocztowa 13/4:1
Sandra:Jasień:1994-02-22:Opole:Dąbrowa: ul. Ogrodowa 8/2:1
Konrad:Jordanek:1994-02-13:Wrocław:Widliszki Wielkie: ul. Bankowa 12/2:1
Tomasz:Juszczakiewicz:1994-07-10:Strzelin:Tamka: ul. Wielka 14:1
Tomasz:Klęk:1994-02-25:Strzelin:Kornuty: ul. Kolorowa 3/3:1
Anna:Kruk:1994-08-22:Brzeg:Polesie: ul. Topolowa 3/2:1
Marzena:Marciniszyn:1994-10-06:Wrocław:Kornuty: ul. Pastelowa 20:1
Krystyna:Niedziela:1994-03-29:Wrocław:Widliszki Wielkie: ul. Szpitalna 7/3:1
Zofia:Olczyk:1994-02-18:Strzelin:Kornuty: ul. Kolorowa 9:1
Zofia:Ratajczyk:1994-07-04:Wrocław:Nowiny: ul. Agrestowa 6/1:1
Róża:Rudnik:1994-02-24:Wrocław: Tamka: ul. Prosta 25/2:1
Robert:Strugała:1994-02-22:Brzeg:Polesie: ul. Akacjowa 8/2:1
Dagmara:Tomczak:1994-09-11:Wrocław:Widliszki Wielkie: ul. Szpitalna 22/2:1
Magdalena:Tyka:1994-10-08:Warszawa:Nowiny: ul. Agrestowa7/3:1
Krzysztof:Wilk:1994-08-07:Wrocław:Brzeg: ul.  Piękna 20/5:1
Małgorzata:Bartczak:1993-07-21:Strzelin:Nowiny: ul. Agrestowa 4/2:2
