Imię i nazwisko:Płeć:Funkcja:Miejsce pracy:Adres - miejsce pracy
Adamec Helena:K:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Adamska Magdalena:K:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Asanowicz Gabriela:K:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Baran Marek:M:dyrektor:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Bartczak Małgorzata:K:dyrektor:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Bartczak Piotr:M:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Bartkowiak Hanna:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Bednarek Ewelina:K:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Berkowski Norbert:M:nauczyciel:Przedszkole Widliszki:Widliszki, ul. Szkolna 10
Biały Tomasz:M:pracownik obsł.:SP Nowiny:Nowiny, ul. Parkowa 7
Bober Zbigniew:M:dyrektor:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Bocian Ewa:K:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Bogacki Maciej:M:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Bukowska Anna:K:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Cichoń Andrzej:M:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Cichy Sylwester:M:pracownik adm.:GOPS:Widliszki, ul. Wietrzna 3
Ciszewski Maciej:M:dyrektor:GCK:Widliszki, ul. Andersa 5
Czaplińska Edyta:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Czarny Gaweł:M:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Czerniak Jacek:M:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Czerwiec Paweł:M:lekarz:ZOZ:Widliszki, ul. Kręta 3
Daliszewska Anita:K:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Damek Magdalena:K:dyrektor:Przedszkole Widliszki:Widliszki, ul. Szkolna 10
Danek Janusz:M:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Daniłowicz Tomasz:M:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Darenko Aleksandra:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
